season,name,age
1,Alex Michel,31,"Charlottesville, Virginia"
2,Aaron Buerge,28,"Butler, Missouri"
3,Andrew Firestone,27,"Santa Barbara, California"
4,Bob Guiney,32,"Riverview, Michigan"
5,Jesse Palmer,25,"Toronto, Ontario"
6,Byron Velvick,40,"Downey, California"
7,Charlie O'Connell,29,"Myrtle Beach, South Carolina"
8,Travis Lane Stork,33,"Fort Collins, Colorado"
9,Lorenzo Borghese,34,"Milan, Italy"
10,Andy Baldwin,30,"Lancaster, Pennsylvania"
11,Brad Womack,34,"Atlanta, Georgia"
12,Matt Grant,27,"London, United Kingdom"
13,Jason Mesnick,32,"Kirkland, Washington"
14,Jake Pavelka,31,"Dallas, Texas"
15,Brad Womack,38,"Atlanta, Georgia"
16,Ben Flajnik,29,"Sonoma, California"
17,Sean Lowe,29,"Catherine Giudici"
18,Juan Pablo Galavis,32,"Ithaca, New York"
19,Chris Soules,33,"Arlington, Iowa"
20,Ben Higgins,27,"Warsaw, Indiana"
21,Nick Viall,36,"Waukesha, Wisconsin"
22,Arie Luyendyk Jr.,35,"Netherlands"
23,Colton Underwood,26,"Indianapolis, Indiana"
24,Peter Weber,28,"Fairfax, Virginia"
25,Matt James,29,"Raleigh, North Carolina"
26,Clayton Echard,28,"Eureka, Missouri"
27,Zach Shallcross,26,"Fullerton, California"
28,Joey Graziadei,29,"Royersford, Pennsylvania"