name,season,hair_color,eye_color,instagram_followers,twitter_followers,ethnicity,winner
Amanda Marsh,1,blonde,green,1757,null,white,yes
Trista Rehn,1,brown,brown,396000,118400,white,no
Helene Eksterowicz,2,brown,brown,null,14,white,yes
Brooke Smith,2,blonde,blue,4335,2525,white,no
Jennifer Schefft,3,blonde,hazel,3646,5751,white,yes
Kirsten Buschbacher,3,brown,brown,254,6,white,no
Estelle Gardinier,4,black,brown,3166,213,white,yes
Kelly Jo Kuharski,4,brown,brown,null,null,white,no
Jessica Bowlin,5,blonde,blue,null,null,white,yes
Tara Huckeby,5,blonde,brown,null,null,white,no
Mary Delgado,6,black,brown,569,3963,hispanic,yes
Tanya Michel,6,blonde,brown,1022,129,white,no
Sarah Brice,7,blonde,brown,3893,2481,white,yes
Krisily Kennedy,7,brown,brown,3861,13800,white,no
Sarah Stone,8,brown,brown,2044,72,white,yes
Moana Dixon,8,black,brown,638,124,hispanic,no
Jennifer Wilson,9,blonde,brown,42500,null,white,yes
Sadie Murray,9,blonde,brown,35100,null,white,no
Tessa Horst,10,black,brown,null,null,asian,yes
Bevin Powers,10,blonde,brown,null,null,white,no
DeAnna Pappas,11,brown,brown,104000,55100,greek,no
Jenni Croft,11,brown,green,13500,3150,white,no
Shayne Lamas,12,blonde,brown,40000,33000,white,yes
Chelsea Wanstrath,12,brown,hazel,1478,null,white,no
Melissa Rycroft,13,black,brown,323000,132200,hispanic,yes
Molly Malaney,13,brown,brown,184000,97500,white,no
Vienna Girardi,14,brown,brown,19300,40000,italian,yes
Tenley Molzahn,14,brown,green,299000,95500,white,no
Emily Maynard,15,blonde,brown,664000,297000,white,yes
Chantal OBrien,15,black,brown,null,null,white,no
Courtney Robertson,16,black,brown,48000,40400,white,yes
Lindzi Cox,16,blonde,brown,25000,32200,white,no
Catherine Giudici,17,black,brown,1300000,339100,italian,yes
Linsay Yenter,17,brown,brown,50300,30200,white,no
Nikki Ferrell,18,blonde,brown,303000,97800,white,yes
Clare Crawley,18,brown,hazel,985000,114800,white,no
Whitney Bischoff,19,blonde,hazel,381000,119100,white,yes
Becca Tilley,19,brown,blue,1100000,205000,asian,no
Lauren Bushnell,20,blonde,hazel,1500000,166400,white,yes
Joelle Fletcher,20,brown,brown,2600000,355800,white,no
Vanessa Grimaldi,21,brown,brown,675000,68000,white,yes
Raven Gates,21,black,brown,1200000,147800,hispanic,no
Becca Kufrin,22,brown,blue,1200000,160600,white,yes
Lauren Burnham,22,blonde,brown,1200000,21000,white,no
Cassie Randolph,23,blonde,blue,1100000,184800,white,yes
Hannah Godwin,23,blonde,blue,1500000,111600,white,no
Hannah Ann Sluss,24,black,hazel,1200000,30800,white,yes
Madison Prewett,24,black,hazel,1800000,89500,white,no
Rachael Kirkconnell,25,brown,brown,939000,null,white,yes
Michelle Young,25,black,brown,659000,29900,black,no
Susie Evans,26,brown,brown,403000,21200,white,yes
Gabriela Windey,26,brown,brown,1000000,25600,asian,no
Kaitlyn Biggar,27,brown,brown,307000,null,white,yes
Gabriella Elnicki,27,black,brown,216000,null,white,no
Kelsey Anderson,28,brown,hazel,600700,null,white,yes
Daisy Kent,28,blonde,hazel,814000,null,white,no